,id,category,question,answer,difficulty
32,32,python и анализ данных,Как получить последний элемент списка?,"Используя отрицательный индекс, например: my_list[-1].",1
33,33,python и анализ данных,Как создать строку из нескольких строк?,"С помощью тройных кавычек, например: """"""Hello\nWorld"""""".",1
34,34,python и анализ данных,Как добавить элемент в конец списка?,"Используя метод append(), например: my_list.append(4).",1
35,35,python и анализ данных,Что делает оператор +=?,Он прибавляет значение к переменной и сохраняет результат.,1
36,36,python и анализ данных,Как узнать тип данных переменной?,"Используя функцию type(), например: type(x).",1
37,37,python и анализ данных,Как отсортировать список?,"Используя метод sort(), например: my_list.sort().",1
38,38,python и анализ данных,Как создать пустую строку?,"Присвоив переменной значение """", например: empty_string = """".",1
39,39,python и анализ данных,Что возвращает функция len()?,Она возвращает количество элементов в объекте.,1
40,40,python и анализ данных,Как создать копию списка?,"Используя срез, например: copy_list = my_list[:].",1
41,41,python и анализ данных,Как объединить два списка?,"Используя оператор +, например: new_list = list1 + list2.",1
42,42,python и анализ данных,Как найти минимальное значение в списке?,"Используя функцию min(), например: min(my_list).",1
43,43,python и анализ данных,Как завершить выполнение программы?,Используя функцию exit().,1
44,44,python и анализ данных,Как возвести число в степень?,"Используя оператор **, например: 2 ** 3.",1
45,45,python и анализ данных,Что такое переменная?,Переменная — это именованное хранилище данных.,1
46,46,python и анализ данных,Чем отличается кортеж от списка?,"Кортежи неизменяемы, а списки изменяемы.",2
47,47,python и анализ данных,Как создать словарь в Python?,"Словарь создается с использованием фигурных скобок {}, например: my_dict = {'ключ': 'значение'}.",2
48,48,python и анализ данных,Как использовать оператор in?,"Он проверяет наличие элемента в коллекции, например: if 'a' in my_dict:.",2
49,49,python и анализ данных,Как объединить два словаря?,"Используя метод update(), например: dict1.update(dict2).",2
50,50,python и анализ данных,Что делает функция sorted()?,Она возвращает отсортированный список из элементов итерируемого объекта.,2
51,51,python и анализ данных,Как создать функцию в Python?,"Используя ключевое слово def, например: def my_function():.",2
52,52,python и анализ данных,Как вызвать функцию?,"Используя ее имя, например: my_function().",2
53,53,python и анализ данных,Как удалить элемент из списка?,"Используя метод remove(), например: my_list.remove(2).",2
54,54,python и анализ данных,Как преобразовать строку в список?,"Используя метод split(), например: ""Hello World"".split().",2
55,55,python и анализ данных,Как объединить список строк в одну строку?,"Используя метод join(), например: "" "".join(my_list).",2
56,56,python и анализ данных,Как узнать количество элементов в списке?,"Используя функцию len(), например: len(my_list).",2
57,57,python и анализ данных,Как создать кортеж?,"Используя круглые скобки, например: my_tuple = (1, 2, 3).",2
58,58,python и анализ данных,Как преобразовать кортеж в список?,"Используя функцию list(), например: my_list = list(my_tuple).",2
59,59,python и анализ данных,"Как проверить, является ли объект списком?","Используя функцию isinstance(), например: isinstance(my_list, list).",2
60,60,python и анализ данных,Как изменить элемент в списке?,"Используя индекс, например: my_list[0] = 10.",2
61,61,python и анализ данных,Какой метод используется для добавления элемента в словарь?,"Метод update(), например: my_dict.update({'ключ': 'значение'}).",2
62,62,python и анализ данных,Как отсортировать список по убыванию?,"Используя метод sort(reverse=True), например: my_list.sort(reverse=True).",2
63,63,python и анализ данных,Что делает функция zip()?,Она объединяет несколько списков в один список кортежей.,2
64,64,python и анализ данных,"Как проверить, является ли строка числом?","Используя метод isdigit(), например: my_str.isdigit().",2
65,65,python и анализ данных,Как разделить строку на части?,"Используя метод split(), например: ""Hello World"".split().",2
66,66,python и анализ данных,Как добавить элемент в словарь?,Используя синтаксис dict['ключ'] = значение.,2
67,67,python и анализ данных,Как преобразовать строку в верхний регистр?,"Используя метод upper(), например: ""hello"".upper().",2
68,68,python и анализ данных,Как объединить строки с разделителем?,"Используя метод join(), например: "","".join(my_list).",2
69,69,python и анализ данных,Как проверить длину строки?,"Используя функцию len(), например: len(my_str).",2
70,70,python и анализ данных,Как скопировать словарь?,"Используя метод copy(), например: new_dict = my_dict.copy().",2
71,71,python и анализ данных,Как получить значение по ключу из словаря?,"Используя метод get(), например: my_dict.get('ключ').",2
72,72,python и анализ данных,Как удалить элемент по индексу?,"Используя оператор del, например: del my_list[0].",2
73,73,python и анализ данных,Как узнать максимальное значение в списке?,"Используя функцию max(), например: max(my_list).",2
74,74,python и анализ данных,Как получить индекс элемента в списке?,"Используя метод index(), например: my_list.index(2).",2
75,75,python и анализ данных,Как вывести элементы списка через запятую?,"Используя метод join(), например: "", "".join(my_list).",2
76,76,python и анализ данных,Что делает оператор *args в функции?,Он позволяет передавать переменное количество аргументов в функцию.,3
77,77,python и анализ данных,Как создать генератор в Python?,Используя ключевое слово yield вместо return в функции.,3
78,78,python и анализ данных,Как работают декораторы в Python?,Декораторы изменяют поведение функции без изменения ее исходного кода.,3
79,79,python и анализ данных,Как работает try-except в Python?,"try-except используется для обработки исключений, чтобы предотвратить падение программы.",3
80,80,python и анализ данных,Как работает цикл while?,"Цикл while выполняется, пока условие истинно.",3
81,81,python и анализ данных,Как найти пересечение двух списков?,"Используя оператор & для множеств, например: set1 & set2.",3
82,82,python и анализ данных,Как работают именованные аргументы в функции?,"Именованные аргументы передаются по имени, например: func(arg_name=value).",3
83,83,python и анализ данных,Как работает функция map()?,Она применяет функцию к каждому элементу итерируемого объекта.,3
84,84,python и анализ данных,Как получить текущую дату и время?,"Используя модуль datetime, например: datetime.datetime.now().",3
85,85,python и анализ данных,Как отсортировать список кортежей?,"Используя параметр key в функции sorted(), например: sorted(list_of_tuples, key=lambda x: x[1]).",3
86,86,python и анализ данных,Что делает функция filter()?,"Она фильтрует элементы итерируемого объекта, возвращая только те, для которых функция возвращает True.",3
87,87,python и анализ данных,Как получить уникальные элементы из списка?,"Используя функцию set(), например: set(my_list).",3
88,88,python и анализ данных,Как работает функция reduce()?,Она применяет функцию к итерируемому объекту и возвращает одно значение.,3
89,89,python и анализ данных,Как объединить несколько строк в одну?,"Используя метод join(), например: """".join(strings_list).",3
90,90,python и анализ данных,Как создать вложенный список?,"Создав список, элементы которого также являются списками, например: nested_list = [[1, 2], [3, 4]].",3
91,91,python и анализ данных,Как вызвать функцию из другого модуля?,Используя синтаксис module_name.function_name().,3
92,92,python и анализ данных,Как удалить все ключи из словаря?,"Используя метод clear(), например: my_dict.clear().",3
93,93,python и анализ данных,Как работают аргументы по умолчанию?,"Аргументы по умолчанию используются, если при вызове функции они не переданы, например: def func(x=10):.",3
94,94,python и анализ данных,Как работает lambdaфункция?,"lambda функции — это анонимные функции, которые определяются в одну строку.",3
95,95,python и анализ данных,Как отформатировать строку с переменными?,"Используя метод format(), например: ""Hello, {}"".format(name).",3
96,96,python и анализ данных,Как создать набор в Python?,"Используя фигурные скобки или функцию set(), например: my_set = {1, 2, 3}.",3
97,97,python и анализ данных,Как сделать глубокую копию объекта?,"Используя модуль copy, например: copy.deepcopy(obj).",3
98,98,python и анализ данных,Как работает функция enumerate()?,"Она добавляет счетчик к итерируемому объекту, возвращая пары индекс-значение.",3
99,99,python и анализ данных,Как работать с бинарными файлами?,"Открывая файл в бинарном режиме, например: open('file.bin', 'rb').",3
100,100,python и анализ данных,Как работает цикл for-else?,"Блок else выполняется, если цикл завершился без использования break.",3
101,101,python и анализ данных,Как заменить все вхождения подстроки в строке?,"Используя метод replace(), например: my_str.replace('old', 'new').",3
102,102,python и анализ данных,Как обработать все исключения в блоке try-except?,Используя except Exception as e:.,3
103,103,python и анализ данных,Как создать итератор?,Создав класс с методами __iter__() и __next__().,3
104,104,python и анализ данных,"Как проверить, является ли объект пустым?","Проверяя длину с помощью len(), например: if len(my_list) == 0:.",3
105,105,python и анализ данных,Как определить переменную внутри функции?,"Используя ключевое слово global, например: global x.",3
106,106,python и анализ данных,Что такое метакласс в Python?,"Метакласс — это класс, который определяет поведение других классов.",4
107,107,python и анализ данных,Как работает дескриптор?,"Дескриптор — это объект с методами __get__(), __set__(), __delete__()для управления доступом к атрибутам.",4
108,108,python и анализ данных,Как работает модуль multiprocessing?,"Он позволяет создавать процессы, работающие параллельно, что полезно для многозадачности.",4
109,109,python и анализ данных,Как управлять потоками в Python?,Используя модуль threading для создания и управления потоками.,4
110,110,python и анализ данных,Как работают контекстные менеджеры?,Они обеспечивают правильное открытие и закрытие ресурсов с помощью with блока.,4
111,111,python и анализ данных,Что такое замыкание в Python?,"Замыкание — это функция, которая сохраняет окружение, в котором была создана, даже после завершения этого окружения.",4
112,112,python и анализ данных,Как работает функция @staticmethod?,"Она определяет метод, который не требует создания экземпляра класса и не использует self.",4
113,113,python и анализ данных,Как настроить __str__ и __repr__методы?,"Они используются для создания строковых представлений объектов; __str__ для пользователя, __repr__ для разработчика.",4
114,114,python и анализ данных,Как работает функция @classmethod?,"Она определяет метод, который работает с классом, а не с его экземпляром.",4
115,115,python и анализ данных,Как использовать модуль collections?,"Этот модуль предоставляет специализированные типы данных, такие как deque, Counter, OrderedDict.",4
116,116,python и анализ данных,Как работают регулярные выражения в Python?,"Используя модуль re, который позволяет искать и обрабатывать текст с использованием паттернов.",4
117,117,python и анализ данных,Как реализовать однотонное поведение (Singleton)?,Создав класс с приватным конструктором и статическим методом для создания единственного экземпляра.,4
118,118,python и анализ данных,Как использовать functools.lru_cache?,Эта функция кэширует результаты вызова функции для оптимизации повторных вызовов.,4
119,119,python и анализ данных,Как работает super()?,super() позволяет обращаться к методам родительского класса из дочернего класса.,4
120,120,python и анализ данных,Как работает обработка исключений в классах?,Используя try-except блоки внутри методов класса для обработки ошибок.,4
121,121,python и анализ данных,Как работают итераторы и генераторы?,"Итераторы предоставляют последовательный доступ к элементам коллекции, генераторы возвращают значения по одному с помощью yield.",4
122,122,python и анализ данных,Как работает декоратор @property?,Он позволяет обращаться к методу класса как к атрибуту.,4
123,123,python и анализ данных,Как работает паттерн проектирования Observer?,"Паттерн Observer оповещает все связанные объекты о событиях, происходящих в наблюдаемом объекте.",4
124,124,python и анализ данных,Как работают замыкаемые переменные?,"Замыкаемые переменные сохраняют свое значение после завершения функции, где они были определены.",4
125,125,python и анализ данных,Как использовать контекстный менеджер для работы с файлами?,"Открывая файл с помощью with open('file.txt', 'r') as f:.",4
126,126,python и анализ данных,Как работает механизм сборки мусора?,"Python автоматически управляет памятью, удаляя объекты, которые больше не используются.",4
127,127,python и анализ данных,Как использовать модуль itertools?,"Этот модуль предоставляет функции для работы с итераторами, такие как product, permutations, combinations.",4
128,128,python и анализ данных,Как работает __enter__ и __exit__?,Эти методы используются для создания контекстных менеджеров.,4
129,129,python и анализ данных,Как работает функция eval()?,eval() выполняет строку Python кода в заданном контексте.,4
130,130,python и анализ данных,Как реализовать __call__ метод?,__call__ позволяет экземпляру класса вести себя как функция.,4
131,131,python и анализ данных,Как работает сериализация объектов?,"Используя модуль pickle, который позволяет сохранять и загружать объекты Python.",4
132,132,python и анализ данных,Как использовать модуль asyncio?,Модуль asyncio позволяет писать асинхронный код для выполнения задач параллельно.,4
133,133,python и анализ данных,Как работает механизм наследования?,Наследование позволяет классу получать атрибуты и методы от родительского класса.,4
134,134,python и анализ данных,Как создать менеджер контекста?,Реализовав методы __enter__ и __exit__ в классе.,4
135,135,python и анализ данных,Как использовать метаклассы?,"Создавая классы, которые управляют поведением других классов.",4
136,136,python и анализ данных,Что такое GIL в Python и как он влияет на многопоточность?,"GIL (Global Interpreter Lock) — это механизм, ограничивающий выполнение Python байт-кода одним потоком, что снижает эффективность многопоточности.",5
137,137,python и анализ данных,Как работает асинхронное программирование в Python?,Асинхронное программирование позволяет выполнять задачи параллельно с использованием async и await.,5
138,138,python и анализ данных,Как реализовать собственный итератор?,Создав класс с методами __iter__() и __next__().,5
139,139,python и анализ данных,Как работает метод __new__()?,"__new__() создает и возвращает новый экземпляр класса, это первый шаг создания объекта.",5
140,140,python и анализ данных,Как работает сериализация объектов с помощью модуля pickle?,pickle преобразует объекты Python в поток байтов для сохранения и восстановления.,5
141,141,python и анализ данных,Что такое аннотация типов и как она используется?,"Аннотация типов позволяет указать ожидаемые типы данных для переменных и функций, например: def func(x: int) -> str:.",5
142,142,python и анализ данных,Как работает механизм исключений?,"Исключения позволяют обрабатывать ошибки с помощью try-except блоков, предотвращая аварийное завершение программы.",5
143,143,python и анализ данных,Как использовать модуль concurrent.futures?,Этот модуль предоставляет интерфейс для запуска параллельных задач с помощью потоков или процессов.,5
144,144,python и анализ данных,Как работает механизм диспетчеризации методов?,"Python использует поиск по MRO (Method Resolution Order) для выбора метода, который будет вызван.",5
145,145,python и анализ данных,Что делает метод __getitem__()?,"__getitem__() позволяет объекту вести себя как контейнер, возвращая элементы по индексам.",5
146,146,python и анализ данных,Как работает десериализация с использованием модуля json?,Модуль json преобразует JSON-строки обратно в объекты Python.,5
147,147,python и анализ данных,Как работает механизм сбора мусора в Python?,"Сбор мусора в Python управляет памятью, удаляя объекты, которые больше не используются, с использованием подсчета ссылок и циклами обнаружения.",5
148,148,python и анализ данных,Как работает функция inspect в Python?,"Модуль inspect позволяет анализировать живой код, включая функции и классы, на этапе выполнения.",5
149,149,python и анализ данных,Как создать многопоточное приложение с использованием модуля threading?,"Используя класс Thread для создания и запуска потоков, например: t = threading.Thread(target=func)",5
150,150,python и анализ данных,Как реализовать обработку исключений с использованием декораторов?,"Создав декоратор, который оборачивает функцию в try-exceptблок, чтобы обрабатывать исключения.",5
151,151,python и анализ данных,Как работает механизм контекста выполнения (execution context) в Python?,"Execution context включает в себя стек вызовов, область видимости и другие детали выполнения кода.",5
152,152,python и анализ данных,Как работает механизм локаций в многопоточном программировании?,"Локации предотвращают одновременное выполнение критических секций кода несколькими потоками, обеспечивая синхронизацию.",5
153,153,python и анализ данных,Как использовать модуль unittest для тестирования кода?,"unittest предоставляет средства для написания тестов, создания тестовых случаев и проверки результатов.",5
154,154,python и анализ данных,Как работает функция @dataclass в Python?,"Декоратор @dataclass автоматически создает методы, такие как __init__, __repr__, и __eq__ для класса на основе его аннотаций типов.",5
155,155,python и анализ данных,Как работает цикл событий в асинхронных программах?,"Цикл событий управляет выполнением асинхронных задач, переключаясь между ними по мере их готовности.",5
156,156,python и анализ данных,Как реализовать многопроцессорное программирование с модулем multiprocessing?,"Используя класс Process, который создает отдельные процессы, каждый из которых имеет свою память и выполняет свою задачу.",5
157,157,python и анализ данных,Как работает механизм обратных вызовов (callback)?,"Обратные вызовы — это функции, которые передаются как аргументы другим функциям и вызываются при завершении основной задачи.",5
158,158,python и анализ данных,Как использовать дескрипторы для управления доступом к атрибутам?,"Реализовав методы __get__(), __set__() и __delete__() в классе-дескрипторе.",5
159,159,python и анализ данных,Как работает механизм кэширования с использованием декоратора @lru_cache?,"@lru_cache кэширует результаты вызовов функции, чтобы ускорить повторное выполнение одинаковых запросов.",5
160,160,python и анализ данных,Как создать обертку для логирования вызовов функций?,"Используя декоратор, который логирует вызовы функций и их результаты.",5
161,161,python и анализ данных,Как работает механизм замыкания в Python?,"Замыкание позволяет функции запоминать контекст, в котором она была создана, даже если этот контекст больше не существует.",5
162,162,python и анализ данных,Как использовать метаклассы для создания классов с особыми свойствами?,"Метаклассы позволяют управлять созданием и поведением классов, изменяя или добавляя методы и атрибуты.",5
163,163,python и анализ данных,Как работает механизм отложенного выполнения (lazy evaluation)?,"Отложенное выполнение задерживает выполнение кода до тех пор, пока результат не понадобится.",5
164,164,python и анализ данных,Как создать собственный контекстный менеджер?,"Реализовав методы __enter__() и __exit__() в классе, или используя декоратор contextlib.contextmanager.",5
165,165,python и анализ данных,Как импортировать библиотеку NumPy?,Используйте import numpy as np.,1
166,166,python и анализ данных,Как создать одномерный массив в NumPy?,"Используйте np.array([1, 2, 3]).",1
167,167,python и анализ данных,Как импортировать библиотеку Pandas?,Используйте import pandas as pd.,1
168,168,python и анализ данных,Как создать DataFrame из словаря в Pandas?,Используйте pd.DataFrame(data_dict).,1
169,169,python и анализ данных,Как узнать размер массива в NumPy?,"Используйте атрибут shape, например: array.shape.",1
170,170,python и анализ данных,Как получить список столбцов в DataFrame?,"Используйте атрибут columns, например: df.columns.",1
171,171,python и анализ данных,Как создать пустой DataFrame?,Используйте pd.DataFrame().,1
172,172,python и анализ данных,"Как проверить, есть ли в массиве NumPy нулевые значения?",Используйте np.any(array == 0).,1
173,173,python и анализ данных,Как узнать количество строк и столбцов в DataFrame?,"Используйте атрибут shape, например: df.shape.",1
174,174,python и анализ данных,Как извлечь столбец из DataFrame?,Используйте df['column_name'].,1
175,175,python и анализ данных,Как создать массив нулей в NumPy?,"Используйте np.zeros((rows, cols)).",2
176,176,python и анализ данных,Как удалить столбец из DataFrame?,"Используйте df.drop('column_name', axis=1).",2
177,177,python и анализ данных,Как изменить форму массива в NumPy?,Используйте array.reshape(new_shape).,2
178,178,python и анализ данных,Как выбрать строки DataFrame по условию?,Используйте df[df['column_name'] > value].,2
179,179,python и анализ данных,Как получить уникальные значения из массива NumPy?,Используйте np.unique(array).,2
180,180,python и анализ данных,Как заменить значения в DataFrame?,"Используйте метод replace(), например: df.replace(old_value, new_value).",2
181,181,python и анализ данных,Как выполнить арифметическую операцию с массивом NumPy?,"Используйте обычные операторы, например: array + 2.",2
182,182,python и анализ данных,Как объединить два DataFrame по строкам?,"Используйте pd.concat([df1, df2], axis=0).",2
183,183,python и анализ данных,Как получить среднее значение по массиву NumPy?,Используйте np.mean(array).,2
184,184,python и анализ данных,Как найти максимальное значение в DataFrame?,Используйте df['column_name'].max().,2
185,185,python и анализ данных,Как создать массив случайных чисел в NumPy?,"Используйте np.random.rand(rows, cols).",3
186,186,python и анализ данных,Как создать DataFrame из списка списков?,Используйте pd.DataFrame(list_of_lists).,3
187,187,python и анализ данных,Как получить индексы ненулевых элементов в массиве NumPy?,Используйте np.nonzero(array).,3
188,188,python и анализ данных,Как сортировать строки DataFrame по значению столбца?,Используйте df.sort_values('column_name').,3
189,189,python и анализ данных,Как выполнить матричное умножение в NumPy?,"Используйте np.dot(matrix1, matrix2).",3
190,190,python и анализ данных,Как переименовать столбцы в DataFrame?,"Используйте метод rename(), например: df.rename(columns={'old_name': 'new_name'}).",3
191,191,python и анализ данных,Как объединить два массива NumPy по оси?,"Используйте np.concatenate((array1, array2), axis=0).",3
192,192,python и анализ данных,Как заменить пропущенные значения в DataFrame?,Используйте df.fillna(value).,3
193,193,python и анализ данных,Как получить диагональные элементы из матрицы в NumPy?,Используйте np.diag(matrix).,3
194,194,python и анализ данных,Как выбрать строки с пропущенными значениями в Pandas?,Используйте df[df.isnull().any(axis=1)].,3
195,195,python и анализ данных,Как выполнить трансформацию массива NumPy?,Используйте array.T или np.transpose(array).,4
196,196,python и анализ данных,Как объединить DataFrame по общему столбцу?,"Используйте pd.merge(df1, df2, on='column_name').",4
197,197,python и анализ данных,Как найти индекс максимального значения в массиве NumPy?,Используйте np.argmax(array).,4
198,198,python и анализ данных,Как сгруппировать данные в DataFrame по столбцу?,"Используйте метод groupby(), например: df.groupby('column_name').mean().",4
199,199,python и анализ данных,Как нормализовать данные в массиве NumPy?,Используйте normalized_array = (array - np.mean(array)) / np.std(array).,4
200,200,python и анализ данных,Как создать сводную таблицу в Pandas?,"Используйте метод pivot_table(), например: df.pivot_table(index='column_name', values='value_column', aggfunc='mean').",4
201,201,python и анализ данных,Как выполнить операцию поэлементного сравнения массивов NumPy?,"Используйте np.equal(array1, array2).",4
202,202,python и анализ данных,Как сохранить DataFrame в CSV файл?,"Используйте df.to_csv('filename.csv', index=False).",4
203,203,python и анализ данных,Как создать линейное пространство в NumPy?,"Используйте np.linspace(start, stop, num_points).",4
204,204,python и анализ данных,Как объединить два DataFrame по индексам?,Используйте df1.join(df2).,4
205,205,python и анализ данных,Как выполнить быструю операцию поэлементного деления с обработкой нулей в NumPy?,"Используйте np.divide(array1, array2, out=np.zeros_like(array1), where=array2!=0).",5
206,206,python и анализ данных,Как выполнять сложные агрегации с использованием groupby в Pandas?,"Используйте df.groupby('column_name').agg({'value_column': ['sum', 'mean']}).",5
207,207,python и анализ данных,Как создать маску для выборки элементов из массива NumPy?,Используйте mask = (array > value) и затем array[mask].,5
208,208,python и анализ данных,Как объединить несколько DataFrame по разным условиям?,"Используйте pd.merge(df1, df2, how='inner', on=['column1', 'column2']).",5
209,209,python и анализ данных,Как эффективно обрабатывать большие объемы данных с использованием chunk параметра в Pandas?,"Используйте pd.read_csv('filename.csv', chunksize=1000) для чтения данных по частям.",5
210,210,python и анализ данных,Как реализовать сложную фильтрацию данных в Pandas?,"Используйте логические выражения с &,  например: df[(df['col1'] > value) & (df['col2'] < value)]`.",5
211,211,python и анализ данных,Как вычислить собственные значения и собственные векторы матрицы в NumPy?,Используйте np.linalg.eig(matrix).,5
212,212,python и анализ данных,Как выполнить Resampling временных рядов в Pandas?,Используйте df.resample('M').sum() для агрегирования данных по месяцам.,5
213,213,python и анализ данных,Как обрабатывать многомерные массивы с помощью Broadcasting в NumPy?,"Используйте операторы, например: array1 + array2, с учетом совместимости их форм.",5
214,214,python и анализ данных,Как создавать сложные многоуровневые индексы в Pandas?,"Используйте pd.MultiIndex.from_arrays([array1, array2]).",5
215,215,python и анализ данных,Как импортировать библиотеку Matplotlib?,Используйте import matplotlib.pyplot as plt.,1
216,216,python и анализ данных,Как импортировать библиотеку Seaborn?,Используйте import seaborn as sns.,1
217,217,python и анализ данных,Как построить простой график линий в Matplotlib?,"Используйте plt.plot(x, y) и затем plt.show().",1
218,218,python и анализ данных,Как загрузить встроенный набор данных в Seaborn?,Используйте sns.load_dataset('dataset_name').,1
219,219,python и анализ данных,Как добавить заголовок к графику в Matplotlib?,Используйте plt.title('Title').,1
220,220,python и анализ данных,Как изменить цвет линии в графике Matplotlib?,"Используйте plt.plot(x, y, color='red').",1
221,221,python и анализ данных,Как отобразить распределение данных с помощью Seaborn?,Используйте sns.histplot(data) или sns.kdeplot(data).,1
222,222,python и анализ данных,Как сохранить график в файл в Matplotlib?,Используйте plt.savefig('filename.png').,1
223,223,python и анализ данных,Как построить столбчатую диаграмму в Matplotlib?,"Используйте plt.bar(x, height).",1
224,224,python и анализ данных,Как показать легенду на графике Matplotlib?,Используйте plt.legend().,1
225,225,python и анализ данных,Как изменить стиль графика в Seaborn?,Используйте sns.set_style('whitegrid').,2
226,226,python и анализ данных,Как создать subplot (несколько графиков) в Matplotlib?,"Используйте plt.subplot(rows, cols, index) для создания подграфика.",2
227,227,python и анализ данных,Как добавить сетку на график в Matplotlib?,Используйте plt.grid(True).,2
228,228,python и анализ данных,Как построить график разброса (scatter plot) в Seaborn?,"Используйте sns.scatterplot(x='column1', y='column2', data=df).",2
229,229,python и анализ данных,Как задать размер фигуры в Matplotlib?,"Используйте plt.figure(figsize=(width, height)).",2
230,230,python и анализ данных,Как построить ящик с усами (boxplot) в Seaborn?,"Используйте sns.boxplot(x='column', data=df).",2
231,231,python и анализ данных,Как построить график плотности в Seaborn?,Используйте sns.kdeplot(data).,2
232,232,python и анализ данных,Как добавить подписи к осям в Matplotlib?,Используйте plt.xlabel('X Label') и plt.ylabel('Y Label').,2
233,233,python и анализ данных,Как построить гистограмму с плотностью в Seaborn?,"Используйте sns.histplot(data, kde=True).",2
234,234,python и анализ данных,Как задать пределы осей в Matplotlib?,"Используйте plt.xlim(min, max) и plt.ylim(min, max).",2
235,235,python и анализ данных,Как построить парные графики (pairplot) в Seaborn?,Используйте sns.pairplot(df) для визуализации парных отношений между переменными.,3
236,236,python и анализ данных,Как настроить легенду в Matplotlib?,Используйте plt.legend(loc='best') для размещения легенды в лучшем месте.,3
237,237,python и анализ данных,Как изменить тип линии в графике Matplotlib?,"Используйте параметр linestyle, например: plt.plot(x, y, linestyle='--').",3
238,238,python и анализ данных,Как создать тепловую карту (heatmap) в Seaborn?,"Используйте sns.heatmap(data, annot=True) для отображения данных в виде тепловой карты.",3
239,239,python и анализ данных,Как настроить палитру цветов в Seaborn?,Используйте sns.set_palette('color_palette') для установки цветовой палитры.,3
240,240,python и анализ данных,Как добавить аннотации на график в Matplotlib?,"Используйте plt.annotate('text', xy=(x, y)).",3
241,241,python и анализ данных,Как построить график линейной регрессии в Seaborn?,"Используйте sns.regplot(x='column1', y='column2', data=df).",3
242,242,python и анализ данных,Как объединить несколько графиков на одном полотне в Matplotlib?,"Используйте plt.plot(x1, y1) и plt.plot(x2, y2) на одном графике.",3
243,243,python и анализ данных,Как настроить оси логарифмически в Matplotlib?,Используйте plt.xscale('log') и plt.yscale('log').,3
244,244,python и анализ данных,Как добавить ошибочные столбцы на график в Seaborn?,"Используйте sns.barplot(x='column1', y='column2', data=df, ci='sd').",3
245,245,python и анализ данных,Как создать многострочный заголовок в Matplotlib?,Используйте plt.title('Line 1 \n Line 2') для создания многострочного заголовка.,4
